! MOLECULE
HCO+
! MOLECULAR WEIGHT
29.0
! NUMBER OF ENERGY LEVELS
   22 - ROTATION - Ref: CDMS (Oct 2007) Müller et al. J. Mol. Struct. 742 215 (2005) https://doi.org/10.1016/j.molstruc.2005.01.027
! LEVEL | ENERGY(CM-1) | WEIGHT | J
    1       0.000000      1.0     0
    2       2.975009      3.0     1
    3       8.924961      5.0     2
    4      17.849722      7.0     3
    5      29.749095      9.0     4
    6      44.622814     11.0     5
    7      62.470547     13.0     6
    8      83.291897     15.0     7
    9     107.086399     17.0     8
   10     133.853523     19.0     9
   11     163.592673     21.0    10
   12     196.303186     23.0    11
   13     231.984332     25.0    12
   14     270.635316     27.0    13
   15     312.255277     29.0    14
   16     356.843288     31.0    15
   17     404.398354     33.0    16
   18     454.919415     35.0    17
   19     508.405346     37.0    18
   20     564.854954     39.0    19
   21     624.266982     41.0    20
   22     686.640105     43.0    21
! NUMBER OF RADIATIVE TRANSITIONS
     21
! TRANS | UP  | LOW | A_ul(s-1) |   FREQ(GHz)   |  E_up(K)
      1     2     1   4.187E-05      89.1885247     4.280
      2     3     2   4.019E-04     178.3750563    12.841
      3     4     3   1.453E-03     267.5576259    25.682
      4     5     4   3.572E-03     356.7342230    42.802
      5     6     5   7.135E-03     445.9028721    64.202
      6     7     6   1.252E-02     535.0615810    89.881
      7     8     7   2.009E-02     624.2083606   119.838
      8     9     8   3.024E-02     713.3412278   154.073
      9    10     9   4.333E-02     802.4581995   192.585
     10    11    10   5.975E-02     891.5572903   235.373
     11    12    11   7.984E-02     980.6364937   282.437
     12    13    12   1.040E-01    1069.6938910   333.774
     13    14    13   1.326E-01    1158.7272266   389.384
     14    15    14   1.660E-01    1247.7350469   449.266
     15    16    15   2.046E-01    1336.7149237   513.418
     16    17    16   2.487E-01    1425.6650079   581.839
     17    18    17   2.988E-01    1514.5833173   654.528
     18    19    18   3.550E-01    1603.4678706   731.482
     19    20    19   4.180E-01    1692.3166872   812.700
     20    21    20   4.880E-01    1781.1277873   898.181
     21    22    21   5.652E-01    1869.8991921   987.922
! NUMBER OF COLLISION PARTNERS
3
! COLLISION BETWEEN
2 HCO+ + para-H2 -- Ref: Denis-Alpizar et al. MNRAS 497 4276 (2020) https://doi.org/10.1093/mnras/staa2308
! NUMBER OF COLLISIONAL TRANSITIONS
    231
! NUMBER OF TEMPERATURES
  9
! TEMPERATURES
                         10.0      15.0      20.0      40.0      60.0      80.0     100.0     150.0     200.0
! TRANS | UP  | LOW | RATE COEFFICIENT(cm3.s-1)
      1     2     1   2.48E-10  2.33E-10  2.22E-10  2.02E-10  1.96E-10  1.95E-10  1.96E-10  2.04E-10  2.13E-10
      2     3     1   1.51E-10  1.43E-10  1.36E-10  1.16E-10  1.04E-10  9.49E-11  8.86E-11  7.90E-11  7.40E-11
      3     3     2   4.10E-10  3.89E-10  3.74E-10  3.45E-10  3.34E-10  3.31E-10  3.30E-10  3.36E-10  3.44E-10
      4     4     1   9.13E-11  8.23E-11  7.61E-11  6.23E-11  5.52E-11  5.10E-11  4.83E-11  4.48E-11  4.31E-11
      5     4     2   2.80E-10  2.58E-10  2.43E-10  2.08E-10  1.89E-10  1.76E-10  1.67E-10  1.53E-10  1.44E-10
      6     4     3   4.67E-10  4.46E-10  4.30E-10  3.94E-10  3.82E-10  3.79E-10  3.79E-10  3.85E-10  3.92E-10
      7     5     1   6.90E-11  6.50E-11  6.11E-11  5.03E-11  4.44E-11  4.08E-11  3.82E-11  3.39E-11  3.10E-11
      8     5     2   1.87E-10  1.76E-10  1.66E-10  1.41E-10  1.28E-10  1.20E-10  1.15E-10  1.07E-10  1.02E-10
      9     5     3   3.36E-10  3.22E-10  3.09E-10  2.70E-10  2.47E-10  2.30E-10  2.18E-10  1.97E-10  1.85E-10
     10     5     4   4.25E-10  4.19E-10  4.12E-10  3.95E-10  3.89E-10  3.88E-10  3.89E-10  3.94E-10  4.02E-10
     11     6     1   4.50E-11  4.41E-11  4.29E-11  3.94E-11  3.74E-11  3.59E-11  3.47E-11  3.19E-11  2.95E-11
     12     6     2   1.47E-10  1.41E-10  1.35E-10  1.17E-10  1.05E-10  9.67E-11  9.02E-11  7.90E-11  7.19E-11
     13     6     3   2.19E-10  2.13E-10  2.06E-10  1.83E-10  1.69E-10  1.59E-10  1.51E-10  1.39E-10  1.31E-10
     14     6     4   3.38E-10  3.25E-10  3.13E-10  2.78E-10  2.56E-10  2.41E-10  2.30E-10  2.14E-10  2.05E-10
     15     6     5   3.53E-10  3.54E-10  3.55E-10  3.55E-10  3.57E-10  3.60E-10  3.65E-10  3.78E-10  3.92E-10
     16     7     1   3.52E-11  3.56E-11  3.53E-11  3.25E-11  2.95E-11  2.70E-11  2.50E-11  2.15E-11  1.95E-11
     17     7     2   1.06E-10  1.03E-10  1.01E-10  9.28E-11  8.67E-11  8.17E-11  7.75E-11  6.92E-11  6.32E-11
     18     7     3   1.77E-10  1.69E-10  1.62E-10  1.42E-10  1.29E-10  1.21E-10  1.14E-10  1.03E-10  9.68E-11
